first_name,last_name,birth,death,age
George,Washington,1732-02-22,1799-12-14,67
John,Adams,1735-10-30,1826-07-04,90
Thomas,Jefferson,1743-04-13,1826-07-04,83
James,Madison,1751-03-16,1836-06-28,85
James,Monroe,1758-04-28,1831-07-04,73
"John Quincy",Adams,1767-07-11,1848-02-23,80
Andrew,Jackson,1767-03-15,1845-06-08,78
Martin,"Van Buren",1782-12-05,1862-07-24,79
"William H.",Harrison,1773-02-09,1841-04-04,68
John,Tyler,1790-03-29,1862-01-18,71
Millard,Fillmore,1800-01-07,1874-03-08,74
James,Buchanan,1791-04-23,1868-06-01,77
Andrew,Johnson,1808-12-29,1875-07-31,66
"Rutherford B.",Hayes,1822-10-04,1893-01-17,70
Grover,Cleveland,1837-03-18,1908-06-24,71
Benjamin,Harrison,1833-08-20,1901-03-13,67
"William H.",Taft,1857-09-15,1930-03-08,72
Woodrow,Wilson,1856-12-19,1924-02-03,67
"Herbert C.",Hoover,1874-08-10,1964-10-20,90
"Harry S",Truman,1884-05-08,1972-12-26,88
"Dwight D.",Eisenhower,1890-10-14,1969-03-28,78
"Richard M.",Nixon,1913-01-09,1994-04-22,81
"Gerald R.",Ford,1913-07-14,2006-12-26,93
"Ronald W.",Reagan,1911-02-06,2004-06-05,93
